date,disease,pathway,countries,who_report_url
2026-01-26,Marburg virus disease,wildlife,ET,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON592
2025-12-24,MERS,livestock,,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON591
2025-12-05,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON587
2025-12-05,Avian influenza,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON590
2025-12-01,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON589
2025-11-21,Marburg virus disease,wildlife,ET,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON585
2025-11-05,Rift Valley fever,livestock,MR SN,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON584
2025-09-18,Nipah virus,wildlife,BD,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON582
2025-09-05,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON580
2025-08-06,Nipah virus,wildlife,IN,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON577
2025-07-24,Rabies,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON576
2025-07-05,Avian influenza,birds,KH,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON575
2025-05-29,Anthrax,livestock,TH,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON573
2025-05-28,COVID-19,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON572
2025-05-16,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON570
2025-05-12,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON569
2025-04-26,Ebola and Sudan virus disease,wildlife,SD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON566
2025-04-17,Avian influenza,birds,MX,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON564
2025-03-13,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON560
2025-03-13,Marburg virus disease,wildlife,TZ,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON559
2025-03-08,Ebola and Sudan virus disease,wildlife,SD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON558
